ob_time,id,id_type,met_domain_name,version_num,src_id,rec_st_ind,wind_speed_unit_id,src_opr_type,wind_direction,wind_speed,prst_wx_id,past_wx_id_1,past_wx_id_2,cld_ttl_amt_id,low_cld_type_id,med_cld_type_id,hi_cld_type_id,cld_base_amt_id,cld_base_ht,visibility,msl_pressure,cld_amt_id_1,cloud_type_id_1,cld_base_ht_id_1,cld_amt_id_2,cloud_type_id_2,cld_base_ht_id_2,cld_amt_id_3,cloud_type_id_3,cld_base_ht_id_3,cld_amt_id_4,cloud_type_id_4,cld_base_ht_id_4,vert_vsby,air_temperature,dewpoint,wetb_temp,rltv_hum,stn_pres,alt_pres,ground_state_id,q10mnt_mxgst_spd,cavok_flag,cs_hr_sun_dur,wmo_hr_sun_dur,snow_depth,wind_direction_q,wind_speed_q,prst_wx_id_q,past_wx_id_1_q,past_wx_id_2_q,cld_ttl_amt_id_q,low_cld_type_id_q,med_cld_type_id_q,hi_cld_type_id_q,cld_base_amt_id_q,cld_base_ht_q,visibility_q,msl_pressure_q,air_temperature_q,dewpoint_q,wetb_temp_q,ground_state_id_q,cld_amt_id_1_q,cloud_type_id_1_q,cld_base_ht_id_1_q,cld_amt_id_2_q,cloud_type_id_2_q,cld_base_ht_id_2_q,cld_amt_id_3_q,cloud_type_id_3_q,cld_base_ht_id_3_q,cld_amt_id_4_q,cloud_type_id_4_q,cld_base_ht_id_4_q,vert_vsby_q,stn_pres_q,alt_pres_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,snow_depth_q,wind_direction_j,wind_speed_j,prst_wx_id_j,past_wx_id_1_j,past_wx_id_2_j,cld_amt_id_j,cld_ht_j,visibility_j,msl_pressure_j,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,vert_vsby_j,stn_pres_j,alt_pres_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime,drv_hr_sun_dur,drv_hr_sun_dur_q
01/01/2016 00:00,3772,WMO,SYNOP,1,708,1011,4,5,240,6,NA,NA,NA,0,NA,NA,NA,NA,250,2000,1020.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2.4,3.2,89.8,1017.8,1020,NA,NA,8,NA,NA,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,31/12/2015 23:52,0,0,1
01/01/2016 01:00,3772,WMO,SYNOP,1,708,1011,4,5,230,5,NA,NA,NA,0,NA,NA,NA,NA,250,1400,1021.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2.4,3.2,91.5,1018.5,1021,NA,NA,8,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 01:34,0,NA,NA
01/01/2016 02:00,3772,WMO,SYNOP,1,708,1011,4,7,0,0,10,NA,NA,0,NA,NA,NA,NA,250,700,1021.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.9,2.3,94.6,1018.8,1022,NA,NA,8,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 01:51,0,NA,NA
01/01/2016 03:00,3772,WMO,SYNOP,1,708,1011,4,7,170,3,10,NA,NA,0,NA,NA,NA,NA,250,800,1022.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.2,1.7,94.3,1019.1,1022,NA,NA,8,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 02:51,0,NA,NA
01/01/2016 04:00,3772,WMO,SYNOP,1,708,1011,4,7,110,3,10,NA,NA,0,NA,NA,NA,NA,250,700,1022.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.8,2.1,96.4,1019.6,1022,NA,NA,8,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 03:52,0,NA,NA
01/01/2016 05:00,3772,WMO,SYNOP,1,708,1011,4,7,100,2,10,NA,NA,2,NA,NA,NA,NA,250,800,1023,2,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,2.2,96.4,1019.9,1023,NA,NA,8,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 04:52,0,NA,NA
01/01/2016 06:00,3772,WMO,SYNOP,1,708,1011,4,5,90,3,NA,NA,NA,3,NA,NA,NA,NA,250,1100,1023,3,NA,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.8,2.1,96.4,1019.8,1023,NA,NA,8,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 05:57,0,NA,NA
01/01/2016 07:00,3772,WMO,SYNOP,1,708,1011,4,5,80,2,NA,NA,NA,6,NA,NA,NA,NA,250,1200,1022.5,6,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.9,2.3,94.4,1019.4,1022,NA,NA,8,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 06:52,0,NA,NA
01/01/2016 08:00,3772,WMO,SYNOP,1,708,1011,4,7,60,2,10,NA,NA,7,NA,NA,NA,NA,250,900,1022.3,1,NA,420,7,NA,540,NA,NA,NA,NA,NA,NA,NA,2.2,1.5,1.9,94.4,1019.2,1022,NA,NA,8,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 07:52,0,NA,NA
01/01/2016 09:00,3772,WMO,SYNOP,1,708,1011,4,5,100,5,NA,NA,NA,7,NA,NA,NA,NA,250,1100,1022,7,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.2,1.8,92.6,1018.9,1022,NA,NA,8,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,A,NA,NA,NA,NA,01/01/2016 08:55,0,NA,NA
