ob_time,wind_direction_kew,wind_speed_kew,air_temperature_kew,dewpoint_kew,wetb_temp_kew,rltv_hum_kew,ob_time,wind_direction_heathrow,wind_speed_heathrow,air_temperature_heathrow,dewpoint_heathrow,wetb_temp_heathrow,rltv_hum_heathrow
01/01/2015 00:00,210,4,4.4,2.3,3.6,86.9,01/01/2015 00:00,200,9,5,2.7,4.1,85.3
01/01/2015 01:00,200,3,5.2,2.9,4.3,85.8,01/01/2015 01:00,200,9,5.3,3,4.4,85.6
01/01/2015 02:00,200,4,5.9,3.7,5,86.2,01/01/2015 02:00,180,7,5.8,3.9,5,87.5
01/01/2015 03:00,180,3,5.8,4.1,5.1,89.3,01/01/2015 03:00,190,8,6,4.4,5.3,89.1
01/01/2015 04:00,190,5,6.5,5,5.8,89.5,01/01/2015 04:00,180,8,6.5,5.2,5.9,90.9
01/01/2015 05:00,210,6,8,6.1,7.1,87.3,01/01/2015 05:00,200,9,7.9,6.3,7.2,89.9
01/01/2015 06:00,210,5,8,6.1,7.1,87.3,01/01/2015 06:00,200,11,8,6.4,7.3,89.9
01/01/2015 07:00,200,7,8.3,6.4,7.4,87.5,01/01/2015 07:00,200,11,8.4,6.6,7.6,88.7
01/01/2015 08:00,200,7,8.1,6.6,7.4,90.2,01/01/2015 08:00,200,11,8.4,7,7.7,90
01/01/2015 09:00,200,7,8.2,6.5,7.4,88.8,01/01/2015 09:00,180,11,8.4,6.9,7.7,90
01/01/2015 10:00,200,8,8.3,6.5,7.5,88.9,01/01/2015 10:00,200,11,8.5,6.8,7.7,88.7
01/01/2015 11:00,190,8,8.1,6.5,7.4,90.2,01/01/2015 11:00,200,11,8.5,6.9,7.8,90.2
01/01/2015 12:00,200,8,8.5,6.9,7.8,90.4,01/01/2015 12:00,200,14,8.7,7,7.9,88.9
01/01/2015 13:00,200,10,8.6,6.8,7.8,89,01/01/2015 13:00,190,14,8.7,7.1,7.9,88.9
01/01/2015 14:00,190,7,8.8,7.1,8,89.1,01/01/2015 14:00,190,11,9,7.6,8.3,90.4
01/01/2015 15:00,200,8,9.6,7.7,8.7,88,01/01/2015 15:00,200,16,9.9,8,9,88
01/01/2015 16:00,210,10,9.9,7.9,8.9,87,01/01/2015 16:00,210,16,9.7,8.1,8.9,89.3
01/01/2015 17:00,210,9,9.9,8,9,88.2,01/01/2015 17:00,210,17,10.3,8.5,9.4,88.3
01/01/2015 18:00,220,7,10.3,7.8,9.1,84.6,01/01/2015 18:00,210,16,10.5,8.1,9.3,84.6
01/01/2015 19:00,210,8,10.5,8,9.3,84.7,01/01/2015 19:00,210,18,11.1,8.7,9.9,84.9
01/01/2015 20:00,210,9,10.5,8.6,9.6,88.5,01/01/2015 20:00,200,17,10.9,9.3,10.1,89.9
01/01/2015 21:00,210,10,10.9,9.1,10,88.7,01/01/2015 21:00,210,18,11.5,9.7,10.6,88.9
01/01/2015 22:00,210,8,11.5,10,10.7,90.1,01/01/2015 22:00,220,19,11.9,10.4,11.1,90.2
01/01/2015 23:00,220,10,11.9,10.6,11.2,91.5,01/01/2015 23:00,220,19,11.9,10.7,11.3,92.5
02/01/2015 00:00,220,10,12.2,10.7,11.4,90.3,02/01/2015 00:00,220,17,12.2,10.9,11.5,91.4
02/01/2015 01:00,220,9,12.4,11.2,11.8,92.8,02/01/2015 01:00,220,17,12.3,11.3,11.8,93.9
02/01/2015 02:00,230,8,12.2,11.5,11.8,95.1,02/01/2015 02:00,230,18,12.6,11.6,12.1,94
02/01/2015 03:00,240,6,12.6,11.7,12.1,94,02/01/2015 03:00,250,14,12.6,11.7,12.1,94
02/01/2015 04:00,260,9,12.5,10,11.2,84.6,02/01/2015 04:00,250,17,12.3,10.1,11.2,86.7
02/01/2015 05:00,260,9,11.8,8.9,10.3,81.8,02/01/2015 05:00,280,11,11.9,8.9,10.4,81.7
02/01/2015 06:00,280,10,11.1,4.1,8,62.4,02/01/2015 06:00,280,13,10.8,4.4,7.9,64
02/01/2015 07:00,280,7,10,3.8,7.3,65.7,02/01/2015 07:00,290,11,10,2.8,6.9,60.3
02/01/2015 08:00,270,6,9,1.9,6,60.5,02/01/2015 08:00,280,10,8.9,3.2,6.4,66.3
02/01/2015 09:00,270,7,8.3,1.7,5.6,63.4,02/01/2015 09:00,280,9,8.3,1.7,5.6,62.8
02/01/2015 10:00,270,7,8.4,1.6,5.6,62.2,02/01/2015 10:00,260,10,8.1,2.5,5.8,67.9
02/01/2015 11:00,250,8,8.9,1.1,5.7,57.8,02/01/2015 11:00,270,12,8.6,0.3,5.3,55.4
02/01/2015 12:00,280,7,9.3,0.1,5.6,52.4,02/01/2015 12:00,270,12,8.9,0.8,5.6,55.9
02/01/2015 13:00,270,10,9.1,-0.1,5.4,52,02/01/2015 13:00,270,12,9,-0.1,5.4,52.3
02/01/2015 14:00,260,8,9.4,0,5.6,51.4,02/01/2015 14:00,270,13,9,0.3,5.5,53.5
02/01/2015 15:00,260,10,8.7,0,5.2,53.8,02/01/2015 15:00,270,12,8.5,0.3,5.2,55.2
02/01/2015 16:00,270,6,7.7,0.3,4.8,59.8,02/01/2015 16:00,260,11,7.3,0.6,4.6,61.1
02/01/2015 17:00,250,4,5.8,0.1,3.6,66.7,02/01/2015 17:00,250,11,7,0.5,4.4,62.1
02/01/2015 18:00,250,2,4.2,-0.3,2.5,72.1,02/01/2015 18:00,250,7,6.4,0.5,4.1,65.4
02/01/2015 19:00,200,3,2.8,-0.1,1.7,80.7,02/01/2015 19:00,240,9,5.6,0.4,3.6,68.8
02/01/2015 20:00,230,3,3.1,1.1,2.3,86.1,02/01/2015 20:00,220,7,5.4,0.9,3.6,71.6
02/01/2015 21:00,230,4,4.2,1.1,3,80.2,02/01/2015 21:00,220,7,4.8,1,3.3,75.6
02/01/2015 22:00,240,3,4.2,0.8,2.9,78.7,02/01/2015 22:00,230,7,4.7,0.9,3.2,75.5
02/01/2015 23:00,230,2,3.6,0.8,2.5,81.3,02/01/2015 23:00,240,4,3.9,0.8,2.7,79.6
03/01/2015 00:00,210,3,4.1,1.1,2.9,80.2,03/01/2015 00:00,210,6,4.4,1.1,3.1,78.4
03/01/2015 01:00,220,3,4.5,1,3.1,77.2,03/01/2015 01:00,210,8,4.5,1,3.1,76.9
03/01/2015 02:00,190,4,4.1,1.3,3,81.8,03/01/2015 02:00,190,8,4.6,1.2,3.3,78.7
03/01/2015 03:00,200,3,5.1,1.2,3.6,76.3,03/01/2015 03:00,180,5,5,1.5,3.6,77.4
03/01/2015 04:00,190,1,4.8,1.9,3.6,80.8,03/01/2015 04:00,190,5,5.2,1.8,3.8,77.6
03/01/2015 05:00,0,0,4.4,3.2,3.9,91.8,03/01/2015 05:00,270,2,5,2.9,4.1,85.3
03/01/2015 06:00,110,2,4.3,3.6,4,94.9,03/01/2015 06:00,140,4,4.5,3.5,4.1,93.2
